JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
DS-S7,Data Science Team Lead,Senior,7+,Python; R; SQL; Java/Scala; Classification; Regression; NLP; Reinforcement Learning; Ensemble methods; Spark; Hadoop; AWS; GCP; ETL automation; Feature engineering; Predictive modeling; Tableau; PowerBI,Manage a team of data scientists; Oversee model development and feature engineering; Deploy analytics solutions; Ensure insights drive business strategy; Mentor and manage stakeholders,Data Science; AI; Machine Learning; Big Data; Leadership; Python; R; SQL
1,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; GitHub/GitLab; AWS basics; Azure basics; GCP basics; Bash; Python fundamentals; Terraform awareness; Ansible awareness; Linux basics,Assist in automating deployments; Build basic CI/CD pipelines; Manage containerized applications; Participate in academic or bootcamp projects,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization; Automation
2,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; GitHub/GitLab; AWS basics; Azure basics; GCP basics; Bash; Python; Terraform awareness; Ansible awareness; Linux fundamentals,Support CI/CD pipelines; Containerize applications using Docker; Deploy sample apps to cloud environments under guidance,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization
3,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS awareness; Azure awareness; GCP awareness; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Implement basic DevOps pipelines; Assist in Docker container setups; Deploy apps on cloud platforms for learning projects,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization
4,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS basics; Azure basics; GCP basics; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,"Assist in automating build, test, and deployment processes; Containerize applications; Deploy to cloud with guidance",DevOps; Cloud; Fresher; Entry-Level; CI/CD; Automation
5,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS awareness; Azure awareness; GCP awareness; Bash basics; Python basics; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Support deployment automation; Setup Docker containers; Participate in CI/CD pipeline creation for projects,DevOps; Cloud; Fresher; Entry-Level; Automation; CI/CD; Containerization
6,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; GitHub/GitLab; AWS basics; Azure basics; GCP basics; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Assist in building CI/CD pipelines; Containerize applications with Docker; Deploy sample apps to cloud environments,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization
7,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS awareness; Azure awareness; GCP awareness; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Implement basic CI/CD pipelines; Containerize web apps with Docker; Deploy to cloud under supervision,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization
8,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS basics; Azure basics; GCP basics; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,"Assist in setting up automated build, test, deployment pipelines; Containerize apps; Deploy on cloud as part of team projects",DevOps; Cloud; Fresher; Entry-Level; Automation; CI/CD; Containerization
9,DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; AWS basics; Azure basics; GCP basics; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Support deployment automation; Implement basic CI/CD pipelines; Containerize applications for test and learning projects,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Automation; Containerization
